"","V1","X2.5..","X97.5..","variable"
"(Intercept)",0.226063672399874,0.179822311632706,0.284196012802355,"lifetime_use"
"sexMen",0.773840207336711,0.729123954454659,0.821298851631904,"lifetime_use"
"employmentemployed part time",1.01412865023524,0.934058524798503,1.10106261216321,"lifetime_use"
"employmentother",0.956565919967108,0.878460181778376,1.04161620324115,"lifetime_use"
"employmentunemployed",1.05045276944522,0.909365786118606,1.21342922471818,"lifetime_use"
"edhigh school grad",0.682042213713595,0.622817802665696,0.746898337356989,"lifetime_use"
"edless than high school",0.535348366968703,0.470467959928982,0.60917617866968,"lifetime_use"
"edsome col/assoc dg",1.03044999581074,0.954054850434957,1.11296241865157,"lifetime_use"
"raceBlack",2.62369817932025,2.22788239878352,3.08983640246321,"lifetime_use"
"racehispanic",2.03867605092589,1.72756039025426,2.40582040666439,"lifetime_use"
"racemore than one",5.12461690808169,4.03680789246992,6.50556061971247,"lifetime_use"
"raceNative Am/AK/pac isl",3.36611754000885,2.5842467246175,4.38454547904373,"lifetime_use"
"raceNHW",5.33421663135395,4.56631969339868,6.23124725834407,"lifetime_use"
"age22-29",1.71959135450036,1.55818282530357,1.89771981724692,"lifetime_use"
"age30-49",2.55104747750315,2.33388745112574,2.78841348126541,"lifetime_use"
"age50+",2.33402893469915,2.07381334874279,2.62689555514502,"lifetime_use"
"hasInsurance",1.26569884131411,1.15440868417481,1.38771786704725,"lifetime_use"
"marStat",0.953455941034528,0.884017685985223,1.02834846621975,"lifetime_use"
"metro",1.01176413311763,0.924873361175818,1.10681819158663,"lifetime_use"
"incomeF20k-49k",1.01227045175815,0.933503553857195,1.09768352061294,"lifetime_use"
"incomeF50k-74k",1.17190503286809,1.0381843110793,1.32284931625851,"lifetime_use"
"incomeF75k+",1.36395627196363,1.22536052084407,1.51822804814001,"lifetime_use"
"(Intercept)1",0.0298383982789233,0.0201975677278743,0.0440810509387684,"lifetime_misuse"
"sexMen1",1.31968063308785,1.19900052787564,1.45250726155458,"lifetime_misuse"
"employmentemployed part time1",0.97768532767405,0.84887659857812,1.1260395227648,"lifetime_misuse"
"employmentother1",0.808164085011519,0.713463447211218,0.91543468814759,"lifetime_misuse"
"employmentunemployed1",1.30667905974904,1.10771507251217,1.54138027689235,"lifetime_misuse"
"edhigh school grad1",0.935839021172302,0.825987731763265,1.06029985660821,"lifetime_misuse"
