"","V1","X2.5..","X97.5..","variable"
"(Intercept)",0.178540503521598,0.142399397517994,0.223854257485308,"lifetime_use"
"sexMen",0.767371096141972,0.724418201732721,0.812870794501923,"lifetime_use"
"employmentemployed part time",1.00896219388452,0.929742113573596,1.0949323407277,"lifetime_use"
"employmentother",0.898906960692348,0.827853806272028,0.97605847537245,"lifetime_use"
"employmentunemployed",1.01358264247574,0.873941378568178,1.17553625257023,"lifetime_use"
"edFhigh school grad",0.622603152307666,0.567804083720002,0.682690907616993,"lifetime_use"
"edFless than high school",0.460693689719203,0.403294622843737,0.526262101514129,"lifetime_use"
"edFsome col/assoc dg",0.966281900573209,0.893214632307875,1.04532626045645,"lifetime_use"
"raceBlack",2.64772071571038,2.24372085645773,3.12446397608905,"lifetime_use"
"racehispanic",2.03379254099199,1.71599664286094,2.41044300232344,"lifetime_use"
"racemore than one",5.04798579044136,3.9711841779877,6.41676623354457,"lifetime_use"
"raceNative Am/AK/pac isl",3.4229536022478,2.62154857108522,4.46934742784145,"lifetime_use"
"raceNHW",5.40670972286256,4.60811866365072,6.34369732226849,"lifetime_use"
"age22-29",1.62856167121365,1.47270377625588,1.80091418227298,"lifetime_use"
"age30-49",2.30081105048646,2.10534973414937,2.5144190555017,"lifetime_use"
"age50+",2.03382318850006,1.80008549229534,2.29791128242806,"lifetime_use"
"hasInsuranceinsured",1.25510889149833,1.14333630468242,1.37780836930192,"lifetime_use"
"marStatmarried",0.970406314365033,0.899485226018935,1.04691926862143,"lifetime_use"
"metro",1.02075237736419,0.9321719191727,1.11775027166595,"lifetime_use"
"incomeF20k-49k",1.04371595444219,0.961991686763737,1.13238295979652,"lifetime_use"
"incomeF50k-74k",1.22853510526378,1.08466310629719,1.39149058920047,"lifetime_use"
"incomeF75k+",1.48015088247727,1.33298511779589,1.64356421212027,"lifetime_use"
"healthFair/Poor",2.21331388483733,1.96739859177439,2.4899673982157,"lifetime_use"
"healthGood",1.57079698005085,1.42394493046111,1.73279394431206,"lifetime_use"
"healthVery Good",1.42102449528052,1.29435451223535,1.56009083840555,"lifetime_use"
"(Intercept)1",0.0218992369480164,0.0146314416668391,0.0327771240746758,"lifetime_misuse"
"sexMen1",1.30991216895508,1.19017625247366,1.44169393970881,"lifetime_misuse"
"employmentemployed part time1",0.977375797857609,0.846697337511795,1.12822304726391,"lifetime_misuse"
"employmentother1",0.756986045261828,0.668053287192579,0.857757732364778,"lifetime_misuse"
"employmentunemployed1",1.25969939819478,1.06603190252143,1.48855073667028,"lifetime_misuse"
"edFhigh school grad1",0.846464184252092,0.744880900677561,0.961900908681929,"lifetime_misuse"
"edFless than high school1",0.695348472809336,0.59018610319465,0.819249209734118,"lifetime_misuse"
"edFsome col/assoc dg1",1.07596305142735,0.958875716106945,1.20734780179555,"lifetime_misuse"
"raceBlack1",1.83844301257038,1.28490007497836,2.63045568779017,"lifetime_misuse"
"racehispanic1",2.32495322862952,1.59568568361278,3.38751395141711,"lifetime_misuse"
"racemore than one1",4.52356441649964,2.99384520720792,6.83490080948617,"lifetime_misuse"
"raceNative Am/AK/pac isl1",2.83970548891229,1.75010300373663,4.60768723128945,"lifetime_misuse"
"raceNHW1",4.7744538518953,3.41125693729569,6.68240768810255,"lifetime_misuse"
"age22-291",1.55569694667855,1.39488490203362,1.73504852362838,"lifetime_misuse"
"age30-491",1.55365989801303,1.3801039503315,1.74904149655833,"lifetime_misuse"
"age50+1",0.709287352283356,0.597712683866462,0.841689597173633,"lifetime_misuse"
"hasInsuranceinsured1",0.874815195436905,0.76527866801391,1.00002999972998,"lifetime_misuse"
"marStatmarried1",0.694246213085441,0.623663051815967,0.772817634426257,"lifetime_misuse"
"metro1",1.19662351549793,1.05157762047987,1.36167583824121,"lifetime_misuse"
"incomeF20k-49k1",0.90445284311904,0.800001871276144,1.02254128996124,"lifetime_misuse"
"incomeF50k-74k1",0.894202464807362,0.768990560886859,1.03980216238988,"lifetime_misuse"
"incomeF75k+1",0.91636769329303,0.803689077466969,1.04484404834493,"lifetime_misuse"
"healthFair/Poor1",2.36365488785048,2.0300818728645,2.75203897120476,"lifetime_misuse"
"healthGood1",1.77518516086942,1.53638318999265,2.05110442231932,"lifetime_misuse"
"healthVery Good1",1.58587160666303,1.37780945008619,1.82535310137599,"lifetime_misuse"
"(Intercept)2",0.102750568806251,0.0774900666136766,0.136245584129422,"pastyr_use"
"sexMen2",0.826230782505554,0.781899078992451,0.873075981671966,"pastyr_use"
"employmentemployed part time2",0.986457625224374,0.907789172361412,1.07194343795929,"pastyr_use"
"employmentother2",1.12374282776504,1.04567112737042,1.20764350272248,"pastyr_use"
"employmentunemployed2",1.15934783987048,1.02218773842193,1.3149124796658,"pastyr_use"
"edFhigh school grad2",0.970461309408517,0.884638097797599,1.06461066441022,"pastyr_use"
"edFless than high school2",0.844762512250471,0.748083303288164,0.953936144500257,"pastyr_use"
"edFsome col/assoc dg2",1.27216169878247,1.16809907881997,1.38549496116719,"pastyr_use"
"raceBlack2",2.10051469890276,1.73178730923908,2.54775050998913,"pastyr_use"
"racehispanic2",1.54081335396534,1.26774394093342,1.87270135167035,"pastyr_use"
"racemore than one2",2.49632944863383,1.88640300247445,3.30346204280964,"pastyr_use"
"raceNative Am/AK/pac isl2",2.71009642982246,2.07543564461929,3.53883420956844,"pastyr_use"
"raceNHW2",2.27416098918417,1.91798284628992,2.696483034106,"pastyr_use"
"age22-292",1.25379307303277,1.12199547558899,1.40107255705265,"pastyr_use"
"age30-492",1.44366252217742,1.30679422205247,1.59486585016137,"pastyr_use"
"age50+2",1.25128821511478,1.11009483356221,1.41044003624524,"pastyr_use"
"hasInsuranceinsured2",1.25549538448844,1.12168816386311,1.40526459247202,"pastyr_use"
"marStatmarried2",0.888001943721281,0.827644529682311,0.952761026953751,"pastyr_use"
"metro2",0.988279832272322,0.917153907435301,1.06492162215981,"pastyr_use"
"incomeF20k-49k2",0.946949654837133,0.868001592876415,1.03307834473506,"pastyr_use"
"incomeF50k-74k2",1.03900724305713,0.930561074312429,1.16009156295606,"pastyr_use"
"incomeF75k+2",1.06347328212507,0.945387731330951,1.19630854549133,"pastyr_use"
"healthFair/Poor2",3.41121159697757,3.03087272914817,3.83927851784943,"pastyr_use"
"healthGood2",2.04565431507371,1.85224030787791,2.25926493391889,"pastyr_use"
"healthVery Good2",1.43670027503834,1.32362858842666,1.5594311715107,"pastyr_use"
"(Intercept)3",0.0185280151220222,0.0104362808112394,0.0328936477056253,"pastyr_misuse"
"sexMen3",1.209005920447,1.06144305337107,1.37708312380361,"pastyr_misuse"
"employmentemployed part time3",0.986478041024784,0.829468683968567,1.17320755350057,"pastyr_misuse"
"employmentother3",0.886854896017289,0.758792795479283,1.03653014535153,"pastyr_misuse"
"employmentunemployed3",1.53308697422756,1.25901752763244,1.86681727534487,"pastyr_misuse"
"edFhigh school grad3",1.09305297769695,0.886396747182115,1.34788943647455,"pastyr_misuse"
"edFless than high school3",1.09815232096964,0.843659710228802,1.42941342988152,"pastyr_misuse"
"edFsome col/assoc dg3",1.46749599718734,1.22006126980666,1.76511176533137,"pastyr_misuse"
"raceBlack3",1.5018032859273,0.93451603100608,2.41345577260339,"pastyr_misuse"
"racehispanic3",1.57457661135949,0.942046938035852,2.6318131347145,"pastyr_misuse"
"racemore than one3",2.43152721494446,1.33219837498619,4.43802117464441,"pastyr_misuse"
"raceNative Am/AK/pac isl3",1.90672395664037,1.06445517267284,3.41545265612019,"pastyr_misuse"
"raceNHW3",2.44556342667263,1.60392965479076,3.72882966283144,"pastyr_misuse"
"age22-293",1.17271263157967,0.997668730556767,1.37846849775378,"pastyr_misuse"
"age30-493",0.902028373846988,0.769489927928368,1.05739550017968,"pastyr_misuse"
"age50+3",0.375503198743273,0.304288519590443,0.463384725970644,"pastyr_misuse"
"hasInsuranceinsured3",0.822628136233108,0.661354534621638,1.0232288660567,"pastyr_misuse"
"marStatmarried3",0.695688750965287,0.60273518295746,0.802977579382155,"pastyr_misuse"
"metro3",1.03005094542256,0.882595725743915,1.20214150059657,"pastyr_misuse"
"incomeF20k-49k3",0.879917580658716,0.756377421560741,1.02363572296309,"pastyr_misuse"
"incomeF50k-74k3",0.999836737042939,0.822736832464304,1.21505864487238,"pastyr_misuse"
"incomeF75k+3",0.943966391723952,0.81691298333318,1.09078025063156,"pastyr_misuse"
"healthFair/Poor3",2.88099186972878,2.19876018891559,3.77490651108108,"pastyr_misuse"
"healthGood3",1.8910507500356,1.4999070041582,2.38419643971009,"pastyr_misuse"
"healthVery Good3",1.70778246044936,1.30983188404265,2.22663760727595,"pastyr_misuse"
"(Intercept)4",0.00536527052279166,0.000879331429235386,0.0327363799651375,"dependence"
"sexMen4",1.58109603626367,1.13099071642024,2.21033173800149,"dependence"
"employmentemployed part time4",0.794026097054476,0.477570773318381,1.32017593627583,"dependence"
"employmentother4",1.02429013460821,0.674908235797982,1.55453767520739,"dependence"
"employmentunemployed4",2.18796985241329,1.29793481483241,3.68833012287104,"dependence"
"edFhigh school grad4",1.08924622131145,0.716070624252776,1.65689987894608,"dependence"
"edFless than high school4",1.1886427298201,0.644129466103109,2.19345894498794,"dependence"
"edFsome col/assoc dg4",1.38890474626474,0.829610573113609,2.32525531461922,"dependence"
"raceBlack4",2.01255347786974,0.386438347636002,10.4812877036229,"dependence"
"racehispanic4",0.925863155414216,0.172503846279508,4.9692954739375,"dependence"
"racemore than one4",2.90756400063487,0.482777736881716,17.5110154672669,"dependence"
"raceNative Am/AK/pac isl4",3.63613381722009,0.581757254174827,22.7267800132291,"dependence"
"raceNHW4",3.87600897817055,0.817115790114173,18.3859445388512,"dependence"
"age22-294",1.09502150188949,0.690521974346302,1.73647202282801,"dependence"
"age30-494",0.779725300872259,0.470908655850797,1.29106045783317,"dependence"
"age50+4",0.38426279131833,0.208337496534707,0.7087437223148,"dependence"
