"","Estimate","Std. Error","t value","Pr(t)","outcome"
"(Intercept)",-0.347943876262305,0.0815238312782804,-4.26800201617861,0.00014925365907495,"lifetime_use"
"sexMen",-0.244315277963274,0.0301287909114473,-8.10903028539549,1.86474600070886e-09,"lifetime_use"
"employmentemployed part time",-0.017695811703523,0.0415977875145523,-0.42540271396243,0.673223736291396,"lifetime_use"
"employmentunemployed",0.00569501581841772,0.0711437850520796,0.0800493790743462,0.936667311732605,"lifetime_use"
"employmentother",-0.109236525391808,0.0423073093254431,-2.58197760938946,0.0143053113659765,"lifetime_use"
"edhigh school grad",0.261250914344125,0.0698575901825352,3.73976419257358,0.000678042576994487,"lifetime_use"
"edsome col/assoc dg",0.708463660079169,0.0618127236814769,11.4614535306664,3.17338324358102e-13,"lifetime_use"
"edcollege grad",0.741803552091342,0.0605254500398183,12.2560600805665,5.00495162795101e-14,"lifetime_use"
"raceBlack",-0.747798505972688,0.050068863464268,-14.935400051698,1.68410884892699e-16,"lifetime_use"
"raceNative Am/AK/pac isl",-0.491191244770092,0.11314550363223,-4.34123521484925,0.00012054432732032,"lifetime_use"
"raceasian",-1.66801579803743,0.0784659926344526,-21.2578180946256,3.24922492126593e-21,"lifetime_use"
"racemore than one",-0.0705928739922334,0.0996284715158259,-0.708561246781948,0.483426922163699,"lifetime_use"
"racehispanic",-0.983602848690685,0.0497220955846981,-19.7820071162364,3.13974504938903e-20,"lifetime_use"
"age22-29",0.487919192406738,0.0467110420745711,10.4454786435252,3.77641220158279e-12,"lifetime_use"
"age30-49",0.908529350677285,0.0397017826487083,22.8838427411734,3.10893689038805e-22,"lifetime_use"
"age50+",0.821022919574595,0.0503531576945138,16.3052916076413,1.21639375510846e-17,"lifetime_use"
"hasInsurance",0.281371127385686,0.0468387207407977,6.00723339441261,8.42816061836489e-07,"lifetime_use"
"(Intercept)1",-2.07807714713841,0.119263017734975,-17.4243213579946,1.61014096201797e-18,"lifetime_misuse"
"sexMen1",0.265908770736311,0.0492568214118959,5.39841514564502,5.216703364196e-06,"lifetime_misuse"
"employmentemployed part time1",0.00728164872147191,0.0699192481835637,0.104143693055093,0.917667237127693,"lifetime_misuse"
