"","Estimate","Std. Error","t value","Pr(t)","outcome"
"(Intercept)",-1.48693858310744,0.116761069053636,-12.734883254832,2.10957250560651e-13,"lifetime_use"
"sexMen",-0.256389877175607,0.0303687471688001,-8.44255694021562,2.64822342370182e-09,"lifetime_use"
"employmentemployed part time",0.0140297711204173,0.0419629922292965,0.334336766161837,0.740531420055005,"lifetime_use"
"employmentother",-0.0444055745809934,0.0434595348236703,-1.02176829000038,0.31533910540628,"lifetime_use"
"employmentunemployed",0.0492212802209999,0.0735876486177922,0.668879644145866,0.508862302593256,"lifetime_use"
"edhigh school grad",-0.382663726113456,0.0463465294005336,-8.25657780772362,4.2040715231569e-09,"lifetime_use"
"edless than high school",-0.624837590781869,0.0659143894642496,-9.47953240347869,2.18769433091985e-10,"lifetime_use"
"edsome col/assoc dg",0.0299955959699144,0.0393015945952644,0.763215749356099,0.451499206918321,"lifetime_use"
"raceBlack",0.964584841341271,0.0834368923460111,11.5606515801326,2.22991095663943e-12,"lifetime_use"
"racehispanic",0.712300602523768,0.0844864342417705,8.43094644621188,2.72538434590152e-09,"lifetime_use"
"racemore than one",1.63405577258798,0.121737705609396,13.4227580880402,5.68452928117154e-14,"lifetime_use"
"raceNative Am/AK/pac isl",1.21376001494766,0.13486265768516,8.99997105040902,6.81037770558231e-10,"lifetime_use"
"raceNHW",1.67414203823733,0.0793047615832389,21.1102335448059,3.77783289813656e-19,"lifetime_use"
"age22-29",0.542086678004857,0.050289899236466,10.7792357160219,1.17098951727803e-11,"lifetime_use"
"age30-49",0.936504050316611,0.0453930479187267,20.6310017338638,7.06277681813821e-19,"lifetime_use"
"age50+",0.847595930830858,0.0603107107020143,14.0538209708504,1.78122746353841e-14,"lifetime_use"
"hasInsurance",0.235624413365197,0.0469580884995769,5.01775989811254,2.41444274170286e-05,"lifetime_use"
"marStat",-0.0476620626290604,0.0385803758341494,-1.23539653511805,0.226597965206763,"lifetime_use"
"metro",0.0116954736583623,0.0458140721186243,0.255281251316838,0.80030774502256,"lifetime_use"
"incomeF20k-49k",0.0121957799820481,0.0413304987256449,0.295079429430664,0.770035486577155,"lifetime_use"
"incomeF50k-74k",0.158630657895683,0.0618160977497605,2.56617068482453,0.0157127869494115,"lifetime_use"
"incomeF75k+",0.310389500229689,0.054671615216869,5.6773427856201,3.8730758101023e-06,"lifetime_use"
"(Intercept)1",-3.51195918206702,0.199102591857326,-17.6389425637595,4.79655391036205e-17,"lifetime_misuse"
"sexMen1",0.277389762694538,0.0489302084846774,5.66909014461697,3.96241744808398e-06,"lifetime_misuse"
"employmentemployed part time1",-0.0225674115647584,0.0720799167367221,-0.313088757402256,0.756453895896785,"lifetime_misuse"
"employmentother1",-0.212990165568776,0.0635898970845685,-3.34943403486751,0.00225873341469604,"lifetime_misuse"
"employmentunemployed1",0.2674888495911,0.0842818798770634,3.1737409035165,0.00354833124661749,"lifetime_misuse"
"edhigh school grad1",-0.0663118032228482,0.0637070660075212,-1.04088615876643,0.306528927722422,"lifetime_misuse"
"edless than high school1",-0.211162898502621,0.0846369425144747,-2.49492588258972,0.018541360352224,"lifetime_misuse"
"edsome col/assoc dg1",0.148489429527011,0.0571765216297016,2.59703502932006,0.0146159997819122,"lifetime_misuse"
"raceBlack1",0.610217945037042,0.179931290712782,3.39139425177088,0.00202540017944881,"lifetime_misuse"
"racehispanic1",0.854581589222574,0.187438718309334,4.55925860425615,8.61885776029286e-05,"lifetime_misuse"
"racemore than one1",1.54096834326552,0.211050697270326,7.30141318269023,4.83778377790131e-08,"lifetime_misuse"
"raceNative Am/AK/pac isl1",1.05004445803343,0.247144308750175,4.24870984625773,0.000202865505905752,"lifetime_misuse"
"raceNHW1",1.57119293243883,0.168296630301421,9.33585497002999,3.06455012676791e-10,"lifetime_misuse"
"age22-291",0.500390294107038,0.0545969578551053,9.16516805634157,4.58982805921884e-10,"lifetime_misuse"
"age30-491",0.55674493710002,0.0585500207299444,9.50887685707142,2.04284239621658e-10,"lifetime_misuse"
"age50+1",-0.203833746397833,0.0823149252808573,-2.47626716178573,0.0193560105615968,"lifetime_misuse"
"hasInsurance1",-0.119904693041128,0.0685971440853099,-1.74795459257036,0.0910535355450832,"lifetime_misuse"
"marStat1",-0.380035091157497,0.0547054540481307,-6.94693239952155,1.23183220526982e-07,"lifetime_misuse"
"metro1",0.168851580152845,0.0664217392004261,2.54211320247637,0.0166199765407418,"lifetime_misuse"
"incomeF20k-49k1",-0.124095162328639,0.0623101508848204,-1.99157216868288,0.0559108046948497,"lifetime_misuse"
"incomeF50k-74k1",-0.150972059077792,0.0777781672847962,-1.94105961027579,0.0620258688615093,"lifetime_misuse"
"incomeF75k+1",-0.162879180987247,0.0690598474863763,-2.35852216469749,0.0253012524406037,"lifetime_misuse"
"(Intercept)2",-1.96966725779311,0.138581178397827,-14.2130935857592,1.33722945203549e-14,"pastyr_use"
"sexMen2",-0.167052617112822,0.0290506696656775,-5.75038782359602,3.16562773957e-06,"pastyr_use"
"employmentemployed part time2",-0.000650086311247901,0.040920557534556,-0.0158865457954459,0.987433698776608,"pastyr_use"
"employmentother2",0.225968332298834,0.0348507632788398,6.48388474280661,4.26205783874977e-07,"pastyr_use"
"employmentunemployed2",0.20813165929938,0.0608273186759468,3.42168064990974,0.00187161932263177,"pastyr_use"
"edhigh school grad2",0.124615536565711,0.0463952750575536,2.68595317973921,0.0118406680305759,"pastyr_use"
"edless than high school2",0.0875648564116583,0.0594421431266806,1.47311068891045,0.151493182971271,"pastyr_use"
