,Estimate,Std. Error,t value,Pr(t),outcome
(Intercept),-1.722939793,0.115399936,-14.9301625,2.87E-14,lifetime_use
sexMen,-0.264784767,0.029389142,-9.009611962,1.78E-09,lifetime_use
employmentemployed part time,0.008922272,0.041720308,0.213859204,0.832325121,lifetime_use
employmentother,-0.106575742,0.042012487,-2.536763479,0.017531593,lifetime_use
employmentunemployed,0.013491225,0.075630575,0.178383216,0.859804695,lifetime_use
edhigh school grad,-0.473845958,0.047007438,-10.0802337,1.79E-10,lifetime_use
edless than high school,-0.775021904,0.067892067,-11.41550023,1.26E-11,lifetime_use
edsome col/assoc dg,-0.034299665,0.040117427,-0.854981668,0.40037141,lifetime_use
raceBlack,0.973699163,0.084472766,11.5267821,1.02E-11,lifetime_use
racehispanic,0.709902297,0.086689477,8.189025057,1.14E-08,lifetime_use
racemore than one,1.61898931,0.122412953,13.22563728,4.72E-13,lifetime_use
raceNative Am/AK/pac isl,1.230503805,0.136093625,9.041597672,1.65E-09,lifetime_use
raceNHW,1.687640724,0.08154285,20.69636673,1.12E-17,lifetime_use
age22-29,0.487697215,0.051326045,9.501944152,6.08E-10,lifetime_use
age30-49,0.833261691,0.045296798,18.39559792,1.99E-16,lifetime_use
age50+,0.709917366,0.062288495,11.39724709,1.30E-11,lifetime_use
hasInsurance,0.227222335,0.047588509,4.774731128,6.09E-05,lifetime_use
marStat,-0.030040414,0.03872124,-0.775812302,0.444859871,lifetime_use
metro,0.02053998,0.046316157,0.443473331,0.661091913,lifetime_use
incomeF20k-49k,0.042787378,0.041601197,1.028513146,0.313182321,lifetime_use
incomeF50k-74k,0.205822488,0.063548643,3.238818016,0.003271676,lifetime_use
incomeF75k+,0.39214403,0.053431162,7.33923827,8.56E-08,lifetime_use
healthFair/Poor,0.794490888,0.060092293,13.22117782,4.75E-13,lifetime_use
healthGood,0.451583121,0.050078462,9.017511835,1.74E-09,lifetime_use
healthVery Good,0.351378087,0.04763657,7.376225539,7.83E-08,lifetime_use
(Intercept),-3.821303485,0.205758394,-18.57179876,1.58E-16,lifetime_misuse
sexMen,0.269960088,0.048908389,5.51970928,8.57E-06,lifetime_misuse
employmentemployed part time,-0.022884056,0.07322988,-0.31249616,0.75715613,lifetime_misuse
employmentother,-0.27841046,0.063764885,-4.36620346,0.000178986,lifetime_misuse
employmentunemployed,0.23087312,0.085169865,2.710737195,0.011732496,lifetime_misuse
edhigh school grad,-0.166687389,0.065227499,-2.555477219,0.016799136,lifetime_misuse
edless than high school,-0.363342159,0.083662355,-4.342958764,0.000190279,lifetime_misuse
edsome col/assoc dg,0.073216122,0.058781658,1.245560692,0.224034069,lifetime_misuse
raceBlack,0.608919025,0.182777885,3.331469911,0.002595722,lifetime_misuse
racehispanic,0.843699922,0.1920425,4.393297964,0.00016666,lifetime_misuse
racemore than one,1.509300271,0.210586363,7.167132046,1.30E-07,lifetime_misuse
raceNative Am/AK/pac isl,1.043700346,0.246956426,4.226253043,0.000258599,lifetime_misuse
raceNHW,1.563279591,0.171533134,9.113572156,1.41E-09,lifetime_misuse
